occupation_id;label;english_translation;country_code;lang_code;preferred;cc;lc;link_id;status_id;relation_id;comnum;product_id;hisco_id;comtxt;provenance
31316;Ringareänka;Widow, parish worker;SW;SW;0;SE;sv;23036;11;0;0;0;14990;2;SHD
31317;Ringarehustru;Wife, parish worker;SW;SW;0;SE;sv;23037;11;0;0;0;14990;2;SHD
31318;Ringerska;Parish worker;SW;SW;0;SE;sv;23038;0;0;0;0;14990;1;SHD
31319;Ringledningsarbetare;Signal (circle) line worker;SW;SW;0;SE;sv;23039;0;46;0;0;99999;1;SHD
31320;Ritare;Draughtsman;SW;SW;0;SE;sv;23040;0;0;0;0;3110;1;SHD
31321;Ritareänka;Widow, draughtsman;SW;SW;0;SE;sv;23041;11;0;0;0;3110;2;SHD
31322;Ritarehustru;Wife, draughtsman;SW;SW;0;SE;sv;23042;11;0;0;0;3110;2;SHD
31323;Ritateljéinnehaverska;Owner, drawing studio;SW;SW;0;SE;sv;23043;0;0;0;0;-1;1;SHD
31324;Ritbiträde;Draughtsman;SW;SW;0;SE;sv;23044;0;0;0;0;3110;1;SHD
31325;Ritbiträde;Draughtsman;SW;SW;0;SE;sv;23045;0;0;0;0;3110;1;SHD
31326;Ritelev;Draughtsman;SW;SW;0;SE;sv;23046;0;0;0;0;3110;1;SHD
31327;Riterska;Draughtsman;SW;SW;0;SE;sv;23047;0;0;0;0;3110;1;SHD
31328;Ritkontorselev;Draughtsman;SW;SW;0;SE;sv;23048;0;0;0;0;3110;1;SHD
31329;Ritlärare;Teacher, art;SW;SW;0;SE;sv;23049;0;0;0;0;13250;1;SHD
31330;Ritlärarinna;Teacher, art;SW;SW;0;SE;sv;23050;0;0;0;0;13250;1;SHD
31331;Ritsare;Marker, scriber;SW;SW;0;SE;sv;23051;0;0;0;0;99999;1;SHD
31332;Rödakorselev;Learner, Red Cross;SW;SW;0;SE;sv;23052;0;0;0;0;14990;1;SHD
31333;Roddare;Rower;SW;SW;0;SE;sv;23053;0;0;0;0;98190;1;SHD
31334;Roddareänka;Widow, rower;SW;SW;0;SE;sv;23054;11;0;0;0;98190;2;SHD
31335;Rökare;Smoker;SW;SW;0;SE;sv;23055;0;21;0;0;77460;1;SHD
31336;Rökareänka;Widow, smoker;SW;SW;0;SE;sv;23056;11;21;0;0;77460;2;SHD
31337;Rökeriägare;Smoker;SW;SW;0;SE;sv;23057;0;21;0;0;77460;1;SHD
31338;Rökeriarbetare;Smoker;SW;SW;0;SE;sv;23058;0;21;0;0;77460;1;SHD
31339;Rökeriidkare;Smoker;SW;SW;0;SE;sv;23059;0;21;0;0;77460;1;SHD
31340;Rökeriinnehavare;Smoker;SW;SW;0;SE;sv;23060;0;21;0;0;77460;1;SHD
31341;Rökmästare;Smoker;SW;SW;0;SE;sv;23061;0;21;0;0;77460;1;SHD
31342;Rörarbetare;Plumber;SW;SW;0;SE;sv;23062;0;0;0;0;87105;1;SHD
31343;Rörarbetareänka;Widow, plumber;SW;SW;0;SE;sv;23063;11;0;0;0;87105;2;SHD
31344;Rörarbetarehustru;Wife, plumber;SW;SW;0;SE;sv;23064;11;0;0;0;87105;2;SHD
31345;Rörarbetsförman;Plumber;SW;SW;0;SE;sv;23065;0;0;0;0;87105;1;SHD
31346;Rörarbetshjälp;Plumber;SW;SW;0;SE;sv;23066;0;0;0;0;87105;1;SHD
31347;Rörarbetskarl;Plumber;SW;SW;0;SE;sv;23067;0;0;0;0;87105;1;SHD
31348;Rorgängare;Seaman, helmsman;SW;SW;0;SE;sv;23068;0;0;0;0;98135;1;SHD
31349;Rorgängareänka;Widow, seaman, helsman;SW;SW;0;SE;sv;23069;11;0;0;0;98135;2;SHD
31350;Rörhjälpare;Plumber;SW;SW;0;SE;sv;23070;0;0;0;0;87105;1;SHD
31351;Rörläggare;Plumber;SW;SW;0;SE;sv;23071;0;0;0;0;87105;1;SHD
31352;Rörläggareänka;Widow, plumber;SW;SW;0;SE;sv;23072;11;0;0;0;87105;2;SHD
31353;Rörläggarehustru;Wife, plumber;SW;SW;0;SE;sv;23073;11;0;0;0;87105;2;SHD
31354;Rörläggningsarbetare;Plumber;SW;SW;0;SE;sv;23074;0;0;0;0;87105;1;SHD
31355;Rörläggningsförman;Plumber;SW;SW;0;SE;sv;23075;0;0;0;0;87105;1;SHD
31356;Rörledningsarbetare;Plumber;SW;SW;0;SE;sv;23076;0;0;0;0;87105;1;SHD
31357;Rörledningsmontör;Plumber;SW;SW;0;SE;sv;23077;0;0;0;0;87105;1;SHD
31358;Rörmakare;Plumber;SW;SW;0;SE;sv;23078;0;0;0;0;87105;1;SHD
31359;Rörmokare;Plumber;SW;SW;0;SE;sv;23079;0;0;0;0;87105;1;SHD
31360;Rörmokarhjälp;Plumber;SW;SW;0;SE;sv;23080;0;0;0;0;87105;1;SHD
31361;Rörmontör;Plumber;SW;SW;0;SE;sv;23081;0;0;0;0;87105;1;SHD
31362;Rosettfabriksarbeterska;Bowtie-factory worker;SW;SW;0;SE;sv;23082;0;27;0;0;99930;1;SHD
31363;Rosettsömmerska;Sewer, bowties;SW;SW;0;SE;sv;23083;0;27;0;0;79510;1;SHD
31364;Rosteriförman;Production foreman, roastery;SW;SW;0;SE;sv;23084;0;21;0;0;22665;1;SHD
31365;Rostmästare;Roast master;SW;SW;0;SE;sv;23085;0;0;0;0;99999;1;SHD
31366;Rotationsbiträde;Rotation assistant;SW;SW;0;SE;sv;23086;0;0;0;0;99999;1;SHD
31367;Roteman;Ward manager, roteman;SW;SW;0;SE;sv;23087;0;0;0;0;31090;1;SHD
31368;Rotemansänka;Widow, ward manager, roteman;SW;SW;0;SE;sv;23088;11;0;0;0;31090;2;SHD
31369;Rotemansaspirant;Ward manager, roteman;SW;SW;0;SE;sv;23089;0;0;0;0;31090;1;SHD
31370;Rotemansbiträde;Ward manager, roteman;SW;SW;0;SE;sv;23090;0;0;0;0;31090;1;SHD
31371;Rotemanshustru;Wife, ward manager, roteman;SW;SW;0;SE;sv;23091;11;0;0;0;31090;2;SHD
